dt,open,high,low,close,volume
2026-09-16 12:48:00,2340.1,2340.1,2340.1,2340.1,0.0
2026-09-16 14:57:00,2342.55,2342.55,2342.55,2342.55,1.0
2026-09-16 15:07:00,2419.95,2423.0,2419.95,2423.0,2.0
2026-09-16 15:15:00,2405.15,2405.15,2405.15,2405.15,7.0
2026-09-16 15:27:00,2421.3,2421.3,2421.3,2421.3,3.0
2026-09-17 09:42:00,2339.55,2339.55,2339.55,2339.55,0.0
2026-09-17 10:16:00,2143.1,2143.1,2143.1,2143.1,6.0
2026-09-17 10:19:00,2202.95,2202.95,2202.95,2202.95,2.0
2026-09-17 10:39:00,2259.85,2259.85,2259.85,2259.85,6.0
2026-09-17 10:57:00,2267.0,2267.0,2267.0,2267.0,1.0
2026-09-17 10:58:00,2280.3,2280.95,2280.3,2280.95,5.0
2026-09-17 11:03:00,2402.0,2402.0,2402.0,2402.0,2.0
2026-09-17 11:06:00,2471.95,2471.95,2461.05,2461.05,8.0
2026-09-17 11:10:00,2500.0,2500.0,2500.0,2500.0,1.0
2026-09-17 11:26:00,2390.0,2390.0,2390.0,2390.0,1.0
2026-09-17 11:30:00,2405.0,2405.0,2405.0,2405.0,1.0
2026-09-17 11:41:00,2350.0,2350.0,2350.0,2350.0,1.0
2026-09-17 12:03:00,2200.0,2200.0,2200.0,2200.0,1.0
2026-09-17 12:49:00,2115.45,2115.45,2115.45,2115.45,1.0
2026-09-17 14:37:00,2273.5,2273.5,2273.5,2273.5,3.0
2026-09-17 14:47:00,2285.35,2285.35,2285.35,2285.35,1.0
2026-09-17 15:30:00,2228.25,2228.25,2228.25,2228.25,2.0
2026-09-17 15:32:00,2247.15,2247.15,2247.15,2247.15,1.0
2026-09-17 15:35:00,2225.1,2225.1,2225.0,2225.0,4.0
2026-09-17 15:37:00,2214.4,2214.4,2214.1,2214.1,4.0
2026-09-17 15:39:00,2197.9,2197.9,2197.9,2197.9,1.0
2026-09-18 13:24:00,2160.0,2160.0,2160.0,2160.0,0.0
2026-09-18 14:11:00,2135.0,2135.0,2135.0,2135.0,1.0
2026-09-18 14:29:00,2100.0,2100.0,2100.0,2100.0,1.0
2026-09-18 15:05:00,2129.55,2129.85,2129.55,2129.85,12.0
2026-09-21 09:17:00,2112.3,2112.3,2100.85,2100.85,4.0
2026-09-21 09:41:00,2081.95,2081.95,2081.95,2081.95,1.0
2026-09-21 09:45:00,2062.0,2062.0,2062.0,2062.0,4.0
2026-09-21 10:04:00,2107.85,2107.85,2107.85,2107.85,9.0
2026-09-21 10:38:00,2129.45,2129.5,2129.45,2129.45,10.0
2026-09-21 10:45:00,2100.0,2100.0,2100.0,2100.0,1.0
2026-09-21 11:09:00,2062.0,2062.0,2062.0,2062.0,5.0
2026-09-21 11:11:00,2062.0,2062.0,2062.0,2062.0,5.0
2026-09-21 11:57:00,1997.65,1997.65,1997.65,1997.65,1.0
2026-09-21 12:00:00,1942.15,1942.15,1942.15,1942.15,1.0
2026-09-21 13:10:00,2050.55,2050.55,2050.55,2050.55,1.0
2026-09-21 13:21:00,1973.25,1973.25,1973.25,1973.25,1.0
2026-09-21 13:33:00,1958.35,1958.35,1958.35,1958.35,1.0
2026-09-21 13:35:00,1933.4,1933.4,1933.4,1933.4,1.0
2026-09-21 13:51:00,1940.0,1940.0,1940.0,1940.0,10.0
2026-09-21 13:57:00,1920.0,1920.0,1920.0,1920.0,2.0
2026-09-21 13:58:00,1900.0,1900.0,1900.0,1900.0,1.0
2026-09-21 14:57:00,1900.35,1900.35,1899.45,1899.5,3.0
2026-09-21 15:02:00,1929.3,1929.3,1929.3,1929.3,4.0
2026-09-21 15:03:00,1927.8,1927.8,1927.65,1927.65,3.0
2026-09-21 15:08:00,1927.65,1927.65,1927.65,1927.65,2.0
2026-09-21 15:11:00,1937.65,1937.65,1937.65,1937.65,1.0
2026-09-21 15:14:00,1933.95,1933.95,1933.95,1933.95,1.0
2026-09-21 15:31:00,1907.55,1907.55,1907.55,1907.55,2.0
