dt,open,high,low,close,volume
2026-09-17 09:15:00,958.0,958.0,907.3,940.0,22.0
2026-09-17 09:16:00,969.9,969.9,940.0,940.0,2.0
2026-09-17 09:17:00,945.0,945.0,914.15,914.15,3.0
2026-09-17 09:18:00,884.8,890.0,884.8,890.0,4.0
2026-09-17 09:22:00,920.0,920.0,920.0,920.0,1.0
2026-09-17 09:23:00,935.05,935.05,935.05,935.05,1.0
2026-09-17 09:24:00,931.55,940.0,930.05,940.0,5.0
2026-09-17 09:27:00,940.0,940.0,940.0,940.0,1.0
2026-09-17 09:30:00,911.8,911.8,905.0,905.0,21.0
2026-09-17 09:31:00,899.2,899.2,885.4,885.4,11.0
2026-09-17 09:32:00,850.0,852.2,844.0,852.2,8.0
2026-09-17 09:33:00,830.0,830.0,820.1,820.1,12.0
2026-09-17 09:35:00,819.95,819.95,800.0,800.0,13.0
2026-09-17 09:42:00,900.0,900.0,900.0,900.0,7.0
2026-09-17 09:43:00,900.0,900.0,900.0,900.0,1.0
2026-09-17 09:44:00,923.15,923.15,923.15,923.15,1.0
2026-09-17 09:46:00,907.25,907.25,907.25,907.25,2.0
2026-09-17 09:52:00,847.6,847.6,847.6,847.6,1.0
2026-09-17 09:54:00,830.0,830.0,830.0,830.0,1.0
2026-09-17 09:57:00,830.0,830.0,830.0,830.0,1.0
2026-09-17 09:58:00,833.2,833.2,833.2,833.2,1.0
2026-09-17 09:59:00,831.65,831.65,831.65,831.65,1.0
2026-09-17 10:00:00,838.85,838.85,838.85,838.85,1.0
2026-09-17 10:02:00,808.0,808.0,808.0,808.0,1.0
2026-09-17 10:03:00,810.0,810.0,810.0,810.0,2.0
2026-09-17 10:04:00,810.0,810.0,810.0,810.0,3.0
2026-09-17 10:05:00,800.05,800.05,780.05,780.1,11.0
2026-09-17 10:06:00,770.0,770.0,770.0,770.0,5.0
2026-09-17 10:07:00,785.9,795.0,785.9,795.0,8.0
